   ;filename ;     age ;Nlines;include;;
1;10427;16.89286 ;500;no;;
2;10512;17.39683 ;600;no;;
3;10526;17.85979 ;600;yes;;
4;10614;18.46296 ;600;no;;
6;10707;19.23148 ;600;no;;
7;10726;19.85979 ;800;no;;
8;10811;20.36376 ;600;yes;;
9;10825;20.82672 ;700;no;;
10;10908;21.26455 ;700;no;;
11;10922;21.72751 ;900;no;;
12;11006;22.19841 ;900;no;;
13;11024;22.79365 ;900;no;;
14;11103;23.09921 ;800;no;;
15;11117;23.56217 ;800;no;;
16;11127;23.89286 ;1000;no;;
17;20012;24.39683 ;800;no;;
18;20102;25.06614 ;800;no;;
19;20117;25.56217 ;700;no;;
20;20200;26.00000 ;700;no;;
21;20217;26.56217 ;600;yes;;
22;20300;27.00000 ;800;no;;
23;20314;27.46296 ;800;no;;
24;20326;27.85979 ;800;no;;
25;20411;28.36376 ;900;no;;
26;20425;28.82672 ;800;no;;
27;20509;29.29762 ;800;no;;
28;20523;29.76058 ;600;no;;
29;20606;30.19841 ;800;no;;
30;20620;30.66138 ;800;no;;
31;20705;31.16534 ;800;no;;
32;20724;31.79365 ;1200;no;;
33;20810;32.33069 ;800;no;;
34;20816;32.52910 ;700;no;;
35;20828;32.92593 ;600;yes;;
36;20913;33.42989 ;900;no;;
37;20926;33.85979 ;700;no;;
38;21011;34.36376 ;600;no;;
39;21025;34.82672 ;900;no;;
40;21108;35.26455 ;800;no;;
41;21122;35.72751 ;700;no;;
