    ;filename ;     age ;Nlines;included
103;10102;13.06614 ;1200;no
104;10117;13.56217 ;1200;no
105;10202;14.06614 ;1000;no
106;10213;14.42989 ;1000;no
107;10228;14.92593 ;1100;no
108;10313;15.42989 ;900;no
109;10323;15.76058 ;800;no
110;10326;15.85979 ;1000;no
111;10423;16.76058 ;800;no
112;10508;17.26455 ;800;no
113;10521;17.69444 ;900;no
114;10611;18.36376 ;900;no
115;10618;18.59524 ;900;no
116;10701;19.03307 ;1100;no
117;10719;19.62831 ;1100;no
118;10803;20.09921 ;1000;no
119;10814;20.46296 ;900;no
120;10827;20.89286 ;1100;no
121;10912;21.39683 ;1200;no
122;10925;21.82672 ;1000;yes
123;11009;22.29762 ;1000;no
124;11022;22.72751 ;1100;no
125;11107;23.23148 ;800;yes
126;11126;23.85979 ;900;no
127;20004;24.13228 ;1000;no
128;20011;24.36376 ;1000;yes
129;20023;24.76058 ;1000;no
130;20101;25.03307 ;800;no
131;20108;25.26455 ;900;no
132;20115;25.49603 ;900;no
133;20123;25.76058 ;800;no
134;20201;26.03307 ;1200;no
135; 020215a ;26.49603 ;800;no
136; 020215b ;26.49603 ;800;no
137;20227;26.89286 ;800;no
138;20305;27.16534 ;700;no
139;20317;27.56217 ;600;yes
140;20402;28.06614 ;600;no
141;20409;28.29762 ;800;no
142;20416;28.52910 ;600;no
143;20428;28.92593 ;600;no
144;20506;29.19841 ;400;yes
145;20518;29.59524 ;1000;no
146;20526;29.85979 ;800;no
147;20604;30.13228 ;900;no
148;20612;30.39683 ;500;no
149;20618;30.59524 ;300;yes
150;20623;30.76058 ;900;no
151;20700;31.00000 ;600;no
152;20701;31.03307 ;600;yes
153;20716;31.52910 ;700;no
154;20721;31.69444 ;900;no
155;20728;31.92593 ;700;no
156;20806;32.19841 ;700;no
157;20813;32.42989 ;700;no
158;20819;32.62831 ;700;yes
159;20904;33.13228 ;900;no
160;20909;33.29762 ;700;no
161;20918;33.59524 ;700;no
162;20923;33.76058 ;800;no
163;21008;34.26455 ;800;yes
164;21025;34.82672 ;600;no
165;21028;34.92593 ;700;no
166;21106;35.19841 ;900;yes
167;21125;35.82672 ;700;no
