    ;filename ;     age ;Nlines;include
183;1126;11.85979 ;1000;no
184;10014;12.46296 ;900;no
185;10026;12.85979 ;800;no
186;10111;13.36376 ;300;no
187;10124;13.79365 ;500;no
188;10207;14.23148 ;400;no
189;10221;14.69444 ;800;no
190;10307;15.23148 ;700;no
191;10312;15.39683 ;1100;no
192;10325;15.82672 ;900;no
193;10403;16.09921 ;1000;no
194;10410;16.33069 ;800;no
195;10416;16.52910 ;1100;no
196;10423;16.76058 ;800;no
197;10502;17.06614 ;700;no
198;10511;17.36376 ;800;no
199;10524;17.79365 ;500;no
200;10604;18.13228 ;900;no
201;10609;18.29762 ;800;no
202;10620;18.66138 ;800;no
203;10700;19.00000 ;600;no
204;10710;19.33069 ;800;no
205;10717;19.56217 ;600;no
206;10723;19.76058 ;1200;no
207;10801;20.03307 ;600;no
208;10808;20.26455 ;700;no
209;10818;20.59524 ;700;no
210;10821;20.69444 ;800;no
211;10908;21.26455 ;600;no
212;10910;21.33069 ;900;no
213;10915;21.49603 ;400;no
214;10921;21.69444 ;600;no
215;10925;21.82672 ;700;no
216;11005;22.16534 ;500;no
217;11012;22.39683 ;1000;no
218;11018;22.59524 ;500;4a
219;11027;22.89286 ;900;no
220;11107;23.23148 ;600;no
221;11116;23.52910 ;200;4a
222;11122;23.72751 ;600;no
223;11126;23.85979 ;700;no
224;20004;24.13228 ;800;no
225;20012;24.39683 ;500;4b
226;20017;24.56217 ;600;no
227;20100;25.00000 ;800;no
228;20110;25.33069 ;800;no
229;20116;25.52910 ;900;no
230;20124;25.79365 ;400;4a
231;20202;26.06614 ;800;no
232;20211;26.36376 ;800;no
233;20217;26.56217 ;600;4b
234;20306;27.19841 ;300;4a
235;20316;27.52910 ;500;no
236;20324;27.79365 ;800;no
237;20411;28.36376 ;300;4b
238;20416;28.52910 ;200;4a
239;20424;28.79365 ;600;no
240;20427;28.89286 ;600;no
241;20507;29.23148 ;400;4a
242;20514;29.46296 ;800;no
243;20515;29.49603 ;600;no
244;20517;29.56217 ;800;no
245;20518;29.59524 ;700;no
246;20519;29.62831 ;700;no
247;20527;29.89286 ;400;4a
248;20611;30.36376 ;600;no
249;20625;30.82672 ;400;4b
250;20703;31.09921 ;600;no
251;20713;31.42989 ;700;no
252;20720;31.66138 ;700;no
253;20727;31.89286 ;600;no
254;20811;32.36376 ;700;4b
255;20819;32.62831 ;700;no
256;20917;33.56217 ;600;no
257;20923;33.76058 ;800;no
258;21001;34.03307 ;700;no
259; 021008a ;34.26455 ;400;no
260; 021008b ;34.26455 ;500;no
261;21018;34.59524 ;700;no
262;21027;34.89286 ;400;no
263;21114;35.46296 ;600;no
264;21123;35.76058 ;400;no
265;30000;36.00000 ;800;no
