    ;filename ;     age ;Nlines;Include
271;10200;14.00000 ;400;no
272;10214;14.46296 ;400;no
273;10309;15.29762 ;300;no
274;10326;15.85979 ;400;no
275;10407;16.23148 ;300;no
276;10420;16.66138 ;500;no
277;10503;17.09921 ;1100;no
278;10520;17.66138 ;600;no
279;10603;18.09921 ;500;no
280;10618;18.59524 ;300;no
281;10704;19.13228 ;600;no
282;10722;19.72751 ;400;no
283;10805;20.16534 ;500;5a
284;10822;20.72751 ;400;5a
285;10907;21.23148 ;400;5a
286;10925;21.82672 ;500;5a
287;11012;22.39683 ;400;no
288;11027;22.89286 ;400;no
289;11115;23.49603 ;500;5a
290;11128;23.92593 ;400;no
291;20013;24.42989 ;400;no
292;20027;24.89286 ;300;no
293;20110;25.33069 ;700;no
294;20119;25.62831 ;400;5b
295;20211;26.36376 ;500;no
296;20305;27.16534 ;500;5a
297;20312;27.39683 ;400;no
298;20319;27.62831 ;600;no
299;20501;29.03307 ;800;no
300;20515;29.49603 ;800;no
301;20527;29.89286 ;400;no
302;20616;30.52910 ;300;5b
303;20627;30.89286 ;400;no
304;20707;31.23148 ;600;no
305;20724;31.79365 ;700;no
306;20807;32.23148 ;700;no
307;20819;32.62831 ;700;no
308;20908;33.26455 ;400;no
309;21002;34.06614 ;400;no
310;21016;34.52910 ;400;no
311;21028;34.92593 ;600;no
312;21126;35.85979 ;400;no
