dir path;filename;child age;# participants;partipant type;# adults;corpus;nlines_Raw;name;Nlines;years;months;days
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul107;"1;7.19";2;"Father;Mother;";2;cat;60;_Bel_jul107-gold.txt;0;1;7;19
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul108a;"1;8.08";1;"Mother;";1;cat;22;_Bel_jul108a-gold.txt;0;1;8;08
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul108b;"1;8.21";1;"Mother;";1;cat;23;_Bel_jul108b-gold.txt;0;1;8;21
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul109a;"1;9.13";1;"Mother;";1;cat;40;_Bel_jul109a-gold.txt;0;1;9;13
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul109b;"1;9.28";1;"Mother;";1;cat;36;_Bel_jul109b-gold.txt;0;1;9;28
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul110;"1;10.24";2;"Father;Mother;";2;cat;41;_Bel_jul110-gold.txt;0;1;10;24
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul111a;"1;11.10";2;"Father;Mother;";2;cat;40;_Bel_jul111a-gold.txt;0;1;11;10
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul111b;"1;11.23";2;"Father;Mother;";2;cat;194;_Bel_jul111b-gold.txt;100;1;11;23
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul200a;"2;0.13";2;"Father;Mother;";2;cat;174;_Bel_jul200a-gold.txt;100;2;0;13
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul200b;"2;0.26";2;"Father;Mother;";2;cat;265;_Bel_jul200b-gold.txt;200;2;0;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul201a;"2;1.11";2;"Father;Mother;";2;cat;537;_Bel_jul201a-gold.txt;500;2;1;11
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul201b;"2;1.25";2;"Father;Mother;";2;cat;251;_Bel_jul201b-gold.txt;200;2;1;25
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul202;"2;2.11";1;"Mother;";1;cat;255;_Bel_jul202-gold.txt;200;2;2;11
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul203;"2;3.10";2;"Father;Mother;";2;cat;294;_Bel_jul203-gold.txt;200;2;3;10
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul204;"2;4.08";2;"Father;Mother;";2;cat;311;_Bel_jul204-gold.txt;300;2;4;08
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul205;"2;5.08";2;"Father;Mother;";2;cat;277;_Bel_jul205-gold.txt;200;2;5;08
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Bel;jul206;"2;6.25";2;"Father;Mother;";2;cat;340;_Bel_jul206-gold.txt;300;2;6;25
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina;jor01;"1;7.16";4;"Mother;Sister;Sister;Investigator;";1;cat;339;_Jordina_jor01-gold.txt;300;1;7;16
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina;jor02;"1;7.23";3;"Mother;Sister;Investigator;";1;cat;314;_Jordina_jor02-gold.txt;300;1;7;23
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina;jor03;"1;8.03";4;"Mother;Sister;Sister;Investigator;";1;cat;272;_Jordina_jor03-gold.txt;200;1;8;03
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina;jor04;"1;8.27";5;"Aunt;Sister;Sister;Father;Investigator;";2;cat;535;_Jordina_jor04-gold.txt;500;1;8;27
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina;jor05;"1;9.11";5;"Mother;Sister;Sister;Grandmother;Investigator;";2;cat;379;_Jordina_jor05-gold.txt;300;1;9;11
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina;jor06;"1;9.25";5;"Aunt;Sister;Mother;Grandmother;Investigator;";3;cat;503;_Jordina_jor06-gold.txt;500;1;9;25
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//cat/Jordina;jor07;"1;10.24";4;"Sister;Grandmother;Mother;Investigator;";2;cat;41;_Jordina_jor07-gold.txt;0;1;10;24
