dir path;filename;child age;# participants;partipant type;# adults;eng;nlines_Raw;name;Nlines;years;months;days
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10427;"1;04.27";4;"Mother;Camera_Operator;Environment;Toy;";2;eng;542;_Providence_Alex_010427-ortholines.txt;500;1;04;27
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10512;"1;05.12";5;"Mother;Camera_Operator;Toy;Adult;Adult;";4;eng;698;_Providence_Alex_010512-ortholines.txt;600;1;05;12
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10526;"1;05.26";2;"Mother;Father;";2;eng;654;_Providence_Alex_010526-ortholines.txt;600;1;05;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10614;"1;06.14";3;"Mother;Toy;Grandmother;";2;eng;671;_Providence_Alex_010614-ortholines.txt;600;1;06;14
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10700;"1;06.14";1;"Target_Child;";0;eng;0;_Providence_Alex_010700-ortholines.txt;0;1;06;14
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10707;"1;07.07";4;"Mother;Grandmother;Father;Toy;";3;eng;661;_Providence_Alex_010707-ortholines.txt;600;1;07;07
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10726;"1;07.26";4;"Mother;Camera_Operator;Grandmother;Father;";4;eng;824;_Providence_Alex_010726-ortholines.txt;800;1;07;26
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10811;"1;08.11";2;"Mother;Father;";2;eng;669;_Providence_Alex_010811-ortholines.txt;600;1;08;11
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10825;"1;08.25";4;"Mother;Camera_Operator;Father;Toy;";3;eng;718;_Providence_Alex_010825-ortholines.txt;700;1;08;25
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10908;"1;09.08";5;"Mother;Camera_Operator;Environment;Toy;Toy;";2;eng;785;_Providence_Alex_010908-ortholines.txt;700;1;09;08
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;10922;"1;09.22";9;"Mother;Uncle;Camera_Operator;Environment;Grandmother;Unidentified;Toy;Toy;Toy;";5;eng;994;_Providence_Alex_010922-ortholines.txt;900;1;09;22
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;11006;"1;10.06";7;"Mother;Camera_Operator;Grandmother;Adult;Unidentified;Father;Toy;";6;eng;992;_Providence_Alex_011006-ortholines.txt;900;1;10;06
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;11024;"1;10.24";5;"Mother;Camera_Operator;Toy;Toy;Father;";3;eng;905;_Providence_Alex_011024-ortholines.txt;900;1;10;24
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;11103;"1;11.03";5;"Mother;Toy;Camera_Operator;Grandmother;Environment;";3;eng;874;_Providence_Alex_011103-ortholines.txt;800;1;11;03
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;11117;"1;11.17";4;"Mother;Grandmother;Adult;Environment;";3;eng;886;_Providence_Alex_011117-ortholines.txt;800;1;11;17
