    ;filename ;     age ;Nlines;include;;
387;     e01 ;11.29762 ;300;no;;
388;     e02 ;12.33069 ;200;no;;
392;     e06 ;17.66138 ;200;yes;;
394;     e08 ;18.66138 ;200;yes;;
396;     e10 ;20.42989 ;300;yes;;
397;     e11 ;20.95899 ;300;yes;;
398;     e12 ;21.62831 ;300;no;;
399;     e13 ;22.33069 ;200;no;;
400;     e14 ;22.62831 ;300;no;;
401;     e15 ;23.39683 ;300;no;;
402;     e16 ;24.06614 ;100;no;;
403;     e17 ;25.00000 ;300;yes;;
404;     e18 ;25.00000 ;200;no;;
405;     e19 ;27.03307 ;300;yes;;
406;     e20 ;28.56217 ;300;no;;
407;     e21 ;29.79365 ;400;no;;
408;     e22 ;30.59524 ;300;yes;;
409;     e23 ;31.29762 ;300;no;;
410;     e24 ;31.79365 ;300;yes;;
411;     e25 ;32.92593 ;1000;no;;
412;     e26 ;35.26455 ;300;no;;
413;     e27 ;35.79365 ;100;no;;
