   ;filename ;     age ;Nlines;include
31;2;13.82672 ;100;no
32;3;13.82672 ;100;no
34;5;14.16534 ;200;no
35;6;16.52910 ;200;no
37;8;17.03307 ;300;no
38;9;17.49603 ;100;no
39;10;17.89286 ;100;no
40;11;18.03307 ;100;no
41;12;18.52910 ;100;no
42;13;18.52910 ;100;no
44;15;19.16534 ;100;yes
46;17;19.72751 ;300;yes
47;18;19.72751 ;100;no
49;20;20.29762 ;100;no
50;21;20.29762 ;200;no
51;22;20.85979 ;200;yes
52;23;21.33069 ;200;yes
53;24;21.92593 ;200;yes
55;26;22.52910 ;300;yes
58;29;23.03307 ;100;yes
59;30;23.42989 ;300;yes
60;31;23.99206 ;200;yes
61;32;24.42989 ;300;no
62;33;24.92593 ;400;yes
63;34;25.59524 ;200;no
64;35;25.95899 ;200;no
65;36;26.46296 ;300;yes
66;37;26.95899 ;300;no
67;38;27.42989 ;500;yes
68;39;27.92593 ;100;no
69;40;28.42989 ;100;no
70;41;28.42989 ;200;no
71;42;28.92593 ;400;yes
72;43;29.42989 ;300;yes
73;44;29.42989 ;200;no
74;45;29.89286 ;400;yes
75;46;30.39683 ;300;yes
76;47;30.85979 ;400;no
77;48;31.29762 ;400;yes
78;49;31.92593 ;300;yes
79;50;32.46296 ;400;yes
80;51;32.89286 ;400;yes
81;52;33.36376 ;500;no
82;53;33.85979 ;400;no
83;54;34.42989 ;300;no
84;55;34.92593 ;300;no
85;56;35.36376 ;600;yes
86;57;35.89286 ;500;yes
