    ;filename ;     age ;Nlines;include
102;1;20.09921 ;500;yes
103;2;20.29762 ;400;no
104;3;20.59524 ;400;yes
105;4;20.85979 ;400;yes
106;5;21.00000 ;600;no
107;6;21.26455 ;300;yes
108;7;21.46296 ;600;no
109;8;21.72751 ;100;yes
110;9;21.85979 ;500;no
111;10;22.09921 ;700;no
112;11;22.42989 ;800;no
113;12;22.59524 ;700;no
114;13;22.82672 ;700;no
115;14;23.00000 ;700;no
116;15;23.19841 ;600;yes
117;16;23.49603 ;700;no
118;17;23.76058 ;600;no
119;18;23.99206 ;600;no
120;19;24.19841 ;800;no
121;20;24.42989 ;900;no
122;21;24.66138 ;800;no
123;22;24.99206 ;700;no
124;23;25.23148 ;900;no
125;24;25.42989 ;400;no
126;25;25.69444 ;700;no
127;26;25.89286 ;700;no
128;27;26.16534 ;700;no
129;28;26.39683 ;600;no
130;29;26.66138 ;600;no
131;30;26.92593 ;600;no
132;31;27.09921 ;600;no
133;32;27.29762 ;200;yes
