    ;filename ;     age ;Nlines;include
199; lu20225 ;26.82672 ;300;no
200; lu20227 ;26.89286 ;400;yes
201; lu20230 ;26.99206 ;400;no
202; lu20303 ;27.09921 ;800;no
203; lu20305 ;27.16534 ;1100;no
204; lu20307 ;27.23148 ;700;no
205; lu20310 ;27.39683 ;200;no
206; lu20311 ;27.36376 ;200;no
207; lu20312 ;27.39683 ;200;no
208; lu20313 ;27.39683 ;200;no
209; lu20314 ;27.46296 ;200;no
210; lu20316 ;27.52910 ;100;yes
211; lu20320 ;27.66138 ;300;no
212; lu20321 ;27.69444 ;100;no
213; lu20324 ;27.79365 ;300;no
215; lu20328 ;27.92593 ;200;no
216; lu20330 ;27.99206 ;100;no
218; lu20405 ;28.16534 ;400;no
219; lu20408 ;28.26455 ;400;no
220; lu20409 ;28.29762 ;500;no
222; lu20411 ;28.36376 ;500;no
223; lu20413 ;28.42989 ;100;yes
224; lu20414 ;28.46296 ;100;no
226; lu20416 ;28.52910 ;400;no
227; lu20417 ;28.56217 ;300;no
228; lu20419 ;28.62831 ;200;no
229; lu20420 ;28.66138 ;200;no
230; lu20424 ;28.79365 ;400;no
231; lu20425 ;28.82672 ;200;no
232; lu20426 ;28.85979 ;100;no
233; lu20502 ;29.06614 ;100;no
234; lu20503 ;29.09921 ;400;no
235; lu20505 ;29.16534 ;200;no
236; lu20507 ;29.23148 ;200;no
237; lu20511 ;28.46296 ;300;no
238; lu20513 ;29.42989 ;200;no
239; lu20514 ;29.46296 ;200;no
241; lu20516 ;29.52910 ;300;no
242; lu20521 ;29.69444 ;200;no
243; lu20523 ;29.76058 ;300;no
244; lu20526 ;29.85979 ;200;no
245; lu20608 ;30.26455 ;200;no
246; lu20609 ;30.29762 ;200;no
248; lu20611 ;30.36376 ;200;no
250; lu20615 ;30.49603 ;200;no
251; lu20619 ;30.62831 ;100;no
252; lu20622 ;30.72751 ;300;no
253; lu20624 ;30.79365 ;400;no
254; lu20627 ;30.89286 ;100;no
255; lu20630 ;30.99206 ;200;no
256; lu20708 ;31.26455 ;300;no
257; lu20711 ;31.36376 ;100;no
258; lu20712 ;31.39683 ;300;no
259; lu20713 ;31.42989 ;300;no
260; lu20714 ;31.46296 ;100;yes
